game,platform,metric_scope,copies_sold,physical_share_pct,positive_review_pct,release_date,price_usd,as_of_date,source_url,notes
007 First Light,PS5,PS5,2000000,21,,,,2026-07-03,https://alineaanalytics.substack.com/p/2026s-top-playstation-games-by-copies,~60% of players on PS; on market ~2 months
Crimson Desert,PS5,PS5,1900000,19.9,,2026-03-19,70,2026-07-03,https://alineaanalytics.substack.com/p/2026s-top-playstation-games-by-copies,>1.5M sold Mar-Apr; ~112K last month ($8M); PS5 is secondary platform after Steam
Forza Horizon 5,PS5,PS5 total,6200000,,,2025-05-01,,2026-07-03,https://alineaanalytics.substack.com/p/2026s-top-playstation-games-by-copies,+1.2M in 2026 ($55M); 150-250K/month; Steam version 8.3M / $314M; PS5 port May 2025
Ghost of Yotei,PS5,PS5 lifetime,4800000,,,2025-10-02,70,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Avg playtime 47.7h (median 45.5); ~7% over 100h; 1st discount -29% ($49.69) added ~250K in 2 weeks
DEATH STRANDING 2: ON THE BEACH,PS5,PS5,1700000,,,2025-06-26,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Kojima Productions (second-party)
DEATH STRANDING 2: ON THE BEACH,all (PS5+Steam),lifetime,2300000,,,2025-06-26,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Steam port 19/03/2026 added ~600K ($35M); China 42% of Steam copies
MLB The Show 26,PS5,PS5,745000,,,2026-03-17,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,~95% North America; DAU ~500K; selling slower than 2025 edition (~1.2M by same point); 30%+ players over 100h
Saros,PS5,PS5,406000,,,2026-04-30,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Housemarque; likely won't break even without PC port
Marathon,PS5,PS5,347000,,,2026-03-05,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Bungie; ~75K after Season 2 free week
God of War Sons of Sparta,PS5,PS5,132000,,,2026-02-12,,2026-06-11,https://alineaanalytics.substack.com/p/how-are-recent-playstation-studios,Metroidvania spin-off; shadow-dropped
Forza Horizon 6,all (Steam+Xbox),launch (1 week),4900000,,80,2026-05-19,,2026-05-22,https://alineaanalytics.substack.com/p/forza-horizon-6-has-already-sold,2.1M Xbox / 2.8M Steam; 3M+ via Game Pass; 1.7M advanced access; adv launch 15/05; 80% positive (86% excl Chinese)
Forza Horizon 5,PS5,PS5 (year 1),6000000,,,2025-05-01,,2026-05-22,https://alineaanalytics.substack.com/p/forza-horizon-6-has-already-sold,Reference: sold ~6M on PS5 in ~1 year after port
Subnautica 2,all (Steam+Xbox),launch (1 week),4100000,,91,2026-05-13,,2026-05-20,https://alineaanalytics.substack.com/p/subnautica-2-passes-4m-sold-and-100m,4M Steam / <100K Xbox; 2.4M via Game Pass (>6M total players); 5.5M wishlists (<9% converted); 91% positive (93% excl Chinese); release date approx
Assassin's Creed Black Flag Resynced,Steam,pre-launch,300000,,,2026-07-09,59.99,2026-07-07,https://alineaanalytics.substack.com/p/two-summer-games-due-to-make-a-big,300K+ Steam pre-launch; 5.39x more Steam copies than AC Shadows at same 2-days-out milestone
Assassin's Creed Shadows,all (PS5+Steam+Xbox),lifetime,5700000,,,2025-03-01,,2026-07-07,https://alineaanalytics.substack.com/p/two-summer-games-due-to-make-a-big,Split 53.6% PS5 / 23.8% Steam / 23.6% Xbox; 1.3M lifetime on Steam; reference figure
Fields of Mistria,Steam,lifetime (early access),1000000,,,2024-08-01,13.99,2026-07-07,https://alineaanalytics.substack.com/p/two-summer-games-due-to-make-a-big,Since Aug 2024 EA; 1.0 on 05/08/2026; 700K wishlists (15-30% also played Stardew monthly)
Stardew Valley,all,lifetime,50000000,,,2016-02-26,,2026-07-07,https://alineaanalytics.substack.com/p/two-summer-games-due-to-make-a-big,>50M and >$500M lifetime; +4.2M copies in 2026; reference figure
Lego Batman: Legacy of the Dark Knight,all (PS5+Xbox+Steam),launch (1 week),1200000,,96,2026-05-22,70,2026-05-27,https://alineaanalytics.substack.com/p/lego-batman-12m-sold-in-a-week,Split 53.3% PS5 / 25.1% Xbox / 21.6% Steam; revenue 56.4% PS / 25.4% Xbox / 18.2% Steam; adv access 19 May; premium up to $90; Steam 96% positive
007 First Light,Steam,launch (3 days),450000,,,2026-05-17,,2026-05-29,https://alineaanalytics.substack.com/p/007-sells-nearly-500k-on-steam,Over 450K Steam in 3 days; IOI announced 1.5M in first 24h (sold-in); China #2 Steam market (18%)
007 First Light,all (PS5+Steam+Xbox),lifetime,2200000,,,2026-05-17,,2026-06-03,https://alineaanalytics.substack.com/p/mays-top-playstation-games-by-copies,Split 55.1% PS5 / 33.1% Steam / 11.8% Xbox; revenue 60.5% PS / 27.6% Steam / 12.9% Xbox
Minecraft,all,lifetime,350000000,,,2011-11-18,,2026-06-03,https://alineaanalytics.substack.com/p/mays-top-playstation-games-by-copies,Best-selling game of all time; >350M across all platforms
Grand Theft Auto V,all,lifetime,230000000,,,2013-09-17,,2026-06-03,https://alineaanalytics.substack.com/p/mays-top-playstation-games-by-copies,Franchise passed 230M all platforms; 225M cited in GTA6 FAQ (25 Jun)
Gran Turismo 7,PS5,PS5 lifetime,12000000,,,2022-03-04,,2026-06-18,https://alineaanalytics.substack.com/p/how-sonys-games-have-sold-on-playstation,+835K in 2026; discounts down to $20 from $60
Forza Horizon 5,PS5,PS5 lifetime,6000000,,,2025-05-01,,2026-06-18,https://alineaanalytics.substack.com/p/how-sonys-games-have-sold-on-playstation,~$100M of that went to PlayStation
MLB The Show 26,PS5,PS5,756000,,,2026-03-17,,2026-06-18,https://alineaanalytics.substack.com/p/how-sonys-games-have-sold-on-playstation,Tracking behind 2025 edition
Astro Bot,PS5,PS5 lifetime,4300000,,,2024-09-06,,2026-06-18,https://alineaanalytics.substack.com/p/how-sonys-games-have-sold-on-playstation,Top crossover is Astro's Playroom (PS5 pack-in)
Saros,PS5,PS5 (2 weeks),300000,,,2026-04-30,70,2026-05-12,https://alineaanalytics.substack.com/p/saros-sells-300k-in-its-first-two,Adv access 28 Apr; ~1/3 sold in early access; budget $76M; DAU peak ~142K
Saros,PS5,PS5,415000,,,2026-04-30,70,2026-06-18,https://alineaanalytics.substack.com/p/how-sonys-games-have-sold-on-playstation,New creative bets landing below catalogue
Forza Horizon 6,Steam,pre-launch,1200000,,,2026-05-19,,2026-05-12,https://alineaanalytics.substack.com/p/saros-sells-300k-in-its-first-two,~1.1M+ copies pre-launch before 18 May launch
Forza Horizon 6,all (Steam+Xbox),estimate,6000000,,,2026-05-19,,2026-05-29,https://alineaanalytics.substack.com/p/007-sells-nearly-500k-on-steam,3.1M Steam / 2.9M Xbox (reader-requested estimate)
Subnautica 2,Steam,Steam,5400000,,,2026-05-13,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,3.5M accessed via Game Pass on Xbox
Subnautica 2,Xbox,Xbox,100000,,,2026-05-13,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,Only ~100K sold; 3.5M via Game Pass (cannibalisation)
Escape the Backrooms,PS5,PS5,600000,,,2026-05-28,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,Console shadow-drop 28 May; originally off-console ~4 years earlier
Escape the Backrooms,Xbox,Xbox,30000,,,2026-05-28,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,2.8M new Game Pass players; heavy cannibalisation
High on Life 2,PS5,PS5,100000,,,2026-02-13,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,>100K PS5; day-and-date Game Pass on Xbox
High on Life 2,Xbox,Xbox,30000,,,2026-02-13,,2026-06-15,https://alineaanalytics.substack.com/p/2026s-top-xbox-games-by-new-game,1.4M via Game Pass; 87% played the first game
Pragmata,Steam,Steam,574000,,98,2026-04-17,60,2026-04-21,https://alineaanalytics.substack.com/p/pragmata-is-another-win-for-capcoms,Steam outperforming both consoles combined; 98% positive among 10-25h players
Pragmata,PS5,PS5,300000,,,2026-04-17,60,2026-04-21,https://alineaanalytics.substack.com/p/pragmata-is-another-win-for-capcoms,Nearing 300K on PS5; Capcom reported 1M sold-in in 2 days
Pragmata,Xbox,Xbox,100000,,,2026-04-17,60,2026-04-21,https://alineaanalytics.substack.com/p/pragmata-is-another-win-for-capcoms,Under 100K on Xbox
Marathon,all (Steam+PS5+Xbox),estimate,1500000,,,2026-03-05,,2026-05-29,https://alineaanalytics.substack.com/p/007-sells-nearly-500k-on-steam,68% Steam / 19% PS5 / 13% Xbox (reader-requested estimate)
Anno: Mutationem,all (Steam+PS+Xbox),estimate,250000,,,,,2026-05-29,https://alineaanalytics.substack.com/p/007-sells-nearly-500k-on-steam,73% Steam / 24% PlayStation / 3% Xbox (reader-requested estimate)
Monster Hunter Stories 3: Twisted Reflection,all (Steam+PS+Xbox),estimate,500000,,,,,2026-05-29,https://alineaanalytics.substack.com/p/007-sells-nearly-500k-on-steam,66% Steam / 29% PlayStation / 5% Xbox (reader-requested estimate)
Windrose,Steam,lifetime,1900000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,on track to cross 2M imminently; ~15% of players 50+ hours; 250K+ DAU on weekdays
Pragmata,all (Steam+PS5+Xbox),launch month,1400000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,Capcom new IP; sold through - no unsold retail; ~40% also played Resident Evil Requiem
Pragmata,Steam,launch month,840000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,approx
Pragmata,PS5,launch month,500000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,approx; almost 500K on PS5
Pragmata,Xbox,launch month,100000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,approx; almost 100K on Xbox
Slay the Spire 2,Steam,lifetime,6400000,,,,,2026-05-08,https://alineaanalytics.substack.com/p/aprils-top-games-by-copies-sold-across,approx; since EA launch 2 months ago; China top market at >1/3 of copies sold
Helldivers 2,Steam,lifetime,14500000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,close to half a billion; approx; launched Feb 2024 day-and-date PS5+Steam; Steam ~2/3 of lifetime audience; ~500K DAU on Steam
Ghost of Tsushima,Steam,lifetime,2700000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,approx; still sells 50K-100K units/month depending on discounting
The Last of Us Part I,Steam,lifetime,2500000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,+250K Steam units during HBO S2 broadcast 13 Apr-25 May 2025
The Last of Us Part II,Steam,lifetime,1200000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,ported ~1 year ago; selling faster than Part I launch-aligned due to HBO S2 window
God of War Ragnarok,Steam,lifetime,1300000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,approx; Steam port Sept 2024 ~2 yrs after PS; release date approx
Horizon Forbidden West,Steam,lifetime,1100000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,almost $50M; arrived on Steam March 2024
Marvel's Spider-Man 2,Steam,lifetime,1100000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,almost $50M; Steam 14 months after PS5 launch
Stellar Blade,Steam,lifetime,2300000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,45% of Steam audience is Chinese; closing in on PS5 units
Stellar Blade,PS5,lifetime,2500000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,PS5 leads revenue thanks to regional pricing
Starfield,Steam,lifetime,3800000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,passing $200M from copies alone; 60% played Fallout 4 / 51% Skyrim SE
The Elder Scrolls IV: Oblivion Remastered,Steam,lifetime,2700000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,almost $110M; Steam outsold combined PS5+Xbox by 2x; 75% Skyrim SE / 64% Fallout 4 / 44% Fallout New Vegas
Grounded 2,Steam,lifetime,1200000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,EA on Steam day-and-date last July; Steam >2/3 of total sales (Xbox+Windows)
Forza Horizon 6,Steam,pre-launch,800000,,,,,2026-05-04,https://alineaanalytics.substack.com/p/the-xbox-and-playstation-games-with,approx; ~800K sold on Steam two weeks before launch
Forza Horizon 5,PS5,lifetime,5800000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,launched PS5 last year ~3.5 yrs after Xbox/PC; accounts for ~half of the $667M
Forza Horizon 6,Steam,pre-launch,700000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,pre-sold 700K on Steam; day-in-date with Xbox next month
Sea of Thieves,PS5,lifetime,2700000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,nearly $100M; 300K MAU on PS5
The Elder Scrolls IV: Oblivion Remastered,PS5,lifetime,1200000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,about $58M; day-one multi-platform; ~75% previously played Skyrim PS4/PS5
Grounded,PS5,lifetime,770000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,nearly $24M; ~75K MAU; 30% also bought Sea of Thieves
Gears of War Reloaded,PS5,lifetime,684000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,day-and-date launch last summer; periodic discounts $40 to $20
DOOM: The Dark Ages,PS5,lifetime,567000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,day-and-date launch last year
DOOM: The Dark Ages,Steam,lifetime,1000000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,approx; copies approaching 1M on Steam; primary audience on PC
Indiana Jones and the Great Circle,PS5,lifetime,537000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,~1 yr after launch; released PS5 4 months after Xbox; 40% PS5 players 20+ hrs vs 35% Steam / 20% Xbox
Ninja Gaiden 4,PS5,lifetime,250000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,approx; surpassed 250K; nearing $20M PS5 gross
Microsoft Flight Simulator 2024,PS5,lifetime,250000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,approx; surpassed 250K; nearing $20M PS5 gross
Starfield,PS5,lifetime,200000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,tepid PS5 launch; now passing 200K
Age of Empires II: Definitive Edition,PS5,lifetime,173000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,niche RTS demand on PlayStation
Age of Mythology: Retold,PS5,lifetime,123000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,niche RTS demand on PlayStation
Sid Meier's Civilization VII,PS5,lifetime,200000,,,,,2026-04-29,https://alineaanalytics.substack.com/p/which-xbox-games-have-sold-over-100k,for context; reached 200K units on PS5
